work	year	book	chapter	unigram_perplexity_orig	bigram_perplexity_orig	mdl_over_dl_orig	wc_orig	type_token_ratio_orig	unigram_perplexity_norm	bigram_perplexity_norm	mdl_over_dl_norm	wc_norm	type_token_ratio_norm
Müncheni kódex, 1466	1466	Mt	1	117.78982531675543	2.143094991635436	0.4714222419140452	346	0.615606936416185	102.38677186734564	2.266397043661266	0.41642827952595013	351	0.5669515669515669
Müncheni kódex, 1466	1466	Mt	2	182.28044317100884	1.8233311127245715	0.5090010589481115	387	0.661498708010336	134.88818151721682	2.384879044888571	0.4534288638689867	416	0.5504807692307693
Müncheni kódex, 1466	1466	Mt	3	161.26519199960367	1.5173331370163348	0.5926124197002142	255	0.7843137254901961	133.99606581212524	1.8903930715202728	0.544932079414838	265	0.690566037735849
Müncheni kódex, 1466	1466	Mt	4	190.11594529049162	1.5684457001636072	0.5369725125822686	349	0.7106017191977078	138.63068008400228	2.3257918457070637	0.48956780923994037	383	0.6005221932114883
Müncheni kódex, 1466	1466	Mt	5	244.9186851672376	2.366161735167131	0.4847874269595003	718	0.5821727019498607	204.5600061587889	2.6501848046909924	0.4262677287740431	740	0.5121621621621621
Müncheni kódex, 1466	1466	Mt	6	204.64997577065972	2.4176970019528694	0.4769349051768324	556	0.5701438848920863	163.33056355976777	2.7419544531092797	0.4084367245657568	572	0.48426573426573427
Müncheni kódex, 1466	1466	Mt	7	202.493803433644	1.913427379208601	0.53098254022595	430	0.6465116279069767	148.92411670475693	2.4238139285030806	0.44930417495029823	460	0.5195652173913043
Müncheni kódex, 1466	1466	Mt	8	219.46698723523048	2.1361137045291394	0.5507900677200903	521	0.6372360844529751	164.65753334090638	2.966548689528871	0.4788466720560496	555	0.5585585585585585
Müncheni kódex, 1466	1466	Mt	9	218.77453065032208	2.427646928024773	0.5242346938775511	593	0.6003372681281619	164.131084722833	3.163618916579993	0.46520874751491054	624	0.5192307692307693
Müncheni kódex, 1466	1466	Mt	10	241.59404044737312	2.1852577839102643	0.5080815179198875	606	0.6221122112211221	193.9290046947135	2.668854173815851	0.45217588395285585	634	0.5362776025236593
Müncheni kódex, 1466	1466	Mt	11	229.68691718449938	1.6853600573703322	0.5449025247682966	432	0.6875	183.59344622655578	2.120299803605416	0.47900182592818014	455	0.6087912087912087
Müncheni kódex, 1466	1466	Mt	12	314.9979066122227	2.1761688411894085	0.5211881188118812	746	0.6166219839142091	231.7615803655088	2.959995920000843	0.45591315939820987	786	0.5190839694656488
Müncheni kódex, 1466	1466	Mt	13	301.1536680634405	2.5044527124767457	0.4922365378262306	875	0.5885714285714285	216.59436912689355	3.359698671420921	0.4077791718946048	932	0.47103004291845496
Müncheni kódex, 1466	1466	Mt	14	211.56688250815435	2.1010457048442364	0.5421100638491942	478	0.698744769874477	157.6703507335017	2.8541976427518283	0.47966052092478784	509	0.5952848722986247
